Type,X,Y
Salt,92,90
Salt,0,46
Salt,273,46
Salt,266,55
Salt,125,298
Salt,94,255
Salt,2,288
Salt,212,14
Salt,154,40
Salt,173,241
Salt,95,7
Salt,230,250
Salt,93,73
Salt,291,205
Salt,10,103
Salt,68,208
Salt,251,16
Salt,119,266
Salt,173,41
Salt,141,67
Salt,90,183
Salt,35,298
Salt,131,114
Salt,102,202
Salt,54,203
Salt,235,1
Salt,231,177
Salt,11,90
Salt,225,172
Salt,285,255
Salt,48,138
Salt,219,164
Salt,83,66
Salt,247,47
Salt,279,254
Salt,101,284
Salt,26,6
Salt,39,49
Salt,159,250
Salt,242,65
Salt,89,190
Salt,227,136
Salt,65,69
Salt,260,256
Salt,91,63
Salt,174,293
Salt,90,186
Salt,172,253
Salt,6,280
Salt,203,195
Salt,73,215
Salt,48,250
Salt,221,21
Salt,124,149
Salt,186,95
Salt,207,68
Salt,56,162
Salt,96,293
Salt,143,211
Salt,190,258
Salt,165,89
Salt,262,156
Salt,6,45
Salt,133,297
Salt,29,33
Salt,9,259
Salt,63,267
Salt,245,216
Salt,259,233
Salt,94,239
Salt,221,63
Salt,136,8
Salt,28,169
Salt,19,184
Salt,237,50
Salt,210,130
Salt,79,120
Salt,280,121
Salt,280,18
Salt,132,230
Salt,275,212
Salt,28,291
Salt,43,151
Salt,286,295
Salt,272,89
Salt,26,103
Salt,296,190
Salt,279,77
Salt,232,197
Salt,54,287
Salt,245,116
Salt,203,55
Salt,74,216
Salt,41,65
Salt,179,168
Salt,141,156
Salt,123,242
Salt,164,58
Salt,228,253
Salt,0,125
Salt,238,274
Salt,117,223
Salt,285,78
Salt,114,150
Salt,56,167
Salt,199,49
Salt,131,64
Salt,290,222
Salt,25,14
Salt,90,278
Salt,185,2
Salt,43,294
Salt,25,6
Salt,81,18
Salt,18,182
Salt,3,220
Salt,94,287
Salt,236,276
Salt,183,136
Salt,273,168
Salt,55,202
Salt,288,3
Salt,48,119
Salt,190,120
Salt,149,215
Salt,78,161
Salt,15,194
Salt,63,254
Salt,168,287
Salt,233,248
Salt,257,18
Salt,75,239
Salt,194,13
Salt,185,276
Salt,289,250
Salt,191,41
Salt,48,125
Salt,214,114
Salt,175,222
Salt,297,156
Salt,83,265
Salt,291,140
Salt,226,84
Salt,169,230
