Type,X,Y
Salt,32,93
Salt,239,226
Salt,60,22
Salt,269,42
Salt,73,61
Salt,177,189
Salt,280,164
Salt,22,105
Salt,266,19
Salt,157,230
Salt,217,177
Salt,198,95
Salt,101,113
Salt,52,38
Salt,137,78
Salt,143,30
Salt,14,49
Salt,275,20
Salt,138,72
Salt,54,275
Salt,50,153
Salt,66,155
Salt,118,40
Salt,120,32
Salt,231,166
Salt,212,215
Salt,220,279
Salt,171,276
Salt,192,185
Salt,203,246
Salt,27,101
Salt,3,152
Salt,250,110
Salt,264,5
Salt,15,140
Salt,158,51
Salt,92,142
Salt,292,290
Salt,279,97
Salt,263,94
Salt,90,47
Salt,124,152
Salt,115,159
Salt,156,4
Salt,69,259
Salt,28,42
Salt,114,47
Salt,179,216
Salt,255,97
Salt,3,281
Salt,12,179
Salt,224,139
Salt,226,128
Salt,207,267
Salt,95,158
Salt,84,125
Salt,76,129
Salt,166,144
Salt,232,276
Salt,120,149
Salt,24,187
Salt,216,52
Salt,150,171
Salt,282,26
Salt,205,68
Salt,83,0
Salt,174,119
Salt,294,241
Salt,229,135
Salt,80,281
Salt,262,199
Salt,88,198
Salt,232,38
Salt,211,223
Salt,20,296
Salt,283,101
Salt,219,2
Salt,183,7
Salt,231,260
Salt,270,215
Salt,98,268
Salt,95,168
Salt,126,249
Salt,242,236
Salt,30,294
Salt,231,25
Salt,129,298
Salt,229,25
Salt,250,19
Salt,211,138
Salt,112,201
Salt,88,15
Salt,262,233
Salt,20,40
Salt,99,213
Salt,139,283
Salt,44,168
Salt,82,135
Salt,88,243
Salt,179,11
Salt,279,93
Salt,184,237
Salt,282,298
Salt,229,69
Salt,153,221
Salt,10,19
Salt,17,65
Salt,114,236
Salt,101,94
Salt,21,148
Salt,262,196
Salt,40,154
Salt,6,208
Salt,216,13
Salt,178,278
Salt,294,154
Salt,160,102
Salt,265,133
Salt,224,177
Salt,71,142
Salt,76,187
Salt,205,31
Salt,2,166
Salt,283,138
Salt,26,215
Salt,87,296
Salt,139,184
Salt,164,230
Salt,4,15
Salt,167,134
Salt,88,99
Salt,44,227
Salt,248,289
Salt,245,103
Salt,35,217
Salt,128,142
Salt,5,259
Salt,223,227
Salt,148,195
Salt,249,254
Salt,266,265
Salt,75,186
Salt,272,25
Salt,134,48
Salt,136,14
Salt,281,50
Salt,24,266
Salt,220,13
Salt,173,158
Salt,284,269
Salt,103,205
Salt,284,102
Salt,147,40
Salt,47,296
Salt,83,20
Salt,137,34
Salt,206,239
Salt,242,79
Salt,131,224
Salt,30,123
Salt,192,260
Salt,131,74
Salt,248,192
Salt,211,275
Salt,46,71
Salt,124,154
Salt,207,53
Salt,179,296
Salt,210,6
Salt,218,96
Salt,44,295
Salt,105,47
Salt,107,227
Salt,34,236
Salt,97,83
Salt,127,179
Salt,122,169
Salt,96,269
Salt,47,93
Salt,255,267
Salt,181,256
Salt,135,252
Salt,77,170
Salt,229,256
Salt,249,101
Salt,182,203
Salt,159,163
Salt,186,166
Salt,35,163
Salt,251,224
Salt,245,217
Salt,132,266
Salt,46,280
Salt,234,0
Salt,239,297
Salt,60,8
Salt,208,196
Salt,21,260
Salt,216,14
Salt,254,173
Salt,292,126
Salt,71,193
Salt,214,256
Salt,22,274
Salt,247,143
Salt,109,11
Salt,107,97
Salt,63,124
Salt,90,232
Salt,141,18
Salt,195,146
Salt,58,98
Salt,129,36
Salt,44,117
Salt,179,72
Salt,203,171
Salt,231,195
Salt,93,109
Salt,46,0
Salt,184,231
Salt,192,78
Salt,105,289
Salt,171,280
Salt,232,101
Salt,190,8
Salt,75,215
Salt,222,2
Salt,144,282
Salt,222,247
Salt,183,177
Salt,5,198
Salt,141,169
Salt,223,259
Salt,84,233
Salt,93,286
Salt,137,58
Salt,1,274
Salt,60,207
Salt,233,84
Salt,85,219
Salt,137,170
Salt,103,18
Salt,298,32
Salt,163,59
Salt,254,44
Salt,49,271
Salt,299,106
Salt,81,232
Salt,128,267
Salt,203,75
Salt,92,283
Salt,233,220
Salt,32,226
Salt,50,244
Salt,172,265
Salt,187,110
Salt,259,237
Salt,254,234
Salt,134,35
Salt,284,260
Salt,264,265
Salt,115,284
Salt,154,70
Salt,58,158
Salt,61,212
Salt,132,65
Salt,142,105
Salt,167,142
Salt,248,27
Salt,133,185
Salt,157,266
Salt,62,272
Salt,184,103
Salt,49,238
Salt,223,34
Salt,199,159
Salt,251,93
Salt,185,37
Salt,44,223
Salt,164,150
Salt,79,64
Salt,186,99
Salt,205,189
Salt,50,38
Salt,264,271
Salt,6,260
Salt,47,205
Salt,124,267
Salt,288,168
Salt,66,165
Salt,55,175
Salt,253,286
Salt,98,15
Salt,253,95
Salt,188,233
Salt,133,261
Salt,261,181
Salt,12,157
Salt,19,61
Salt,217,262
Salt,149,297
Salt,29,126
Salt,107,21
Salt,12,34
Salt,38,45
Salt,70,232
Salt,123,271
Salt,158,87
Salt,2,263
Salt,52,43
Salt,285,238
Salt,215,139
Salt,102,166
Salt,6,9
Salt,270,146
Salt,74,292
Salt,140,242
Salt,43,12
Salt,159,207
Salt,66,277
Salt,62,126
Salt,236,141
Salt,80,59
Salt,291,44
Salt,120,132
Salt,21,113
Salt,167,46
Salt,205,146
Salt,177,131
Salt,230,130
Salt,56,215
Salt,67,31
Salt,144,178
Salt,102,201
Salt,268,125
Salt,217,29
Salt,34,293
Salt,150,135
Salt,166,85
Salt,177,29
Salt,27,246
Salt,58,99
Salt,186,287
Salt,30,46
Salt,34,7
Salt,283,99
Salt,89,116
Salt,21,77
Salt,273,54
Salt,90,150
Salt,122,70
Salt,179,53
Salt,93,160
Salt,160,151
Salt,257,234
Salt,87,125
Salt,290,189
Salt,104,80
Salt,222,139
Salt,135,222
Salt,29,18
Salt,274,37
Salt,58,166
Salt,239,244
Salt,141,124
Salt,7,277
Salt,66,54
Salt,166,36
Salt,63,101
Salt,55,188
Salt,182,256
Salt,167,235
Salt,215,114
Salt,226,199
Salt,83,228
Salt,89,273
Salt,132,123
Salt,170,225
Salt,158,299
Salt,175,52
Salt,61,88
Salt,120,161
Salt,154,226
Salt,153,265
Salt,192,137
Salt,5,71
Salt,74,65
Salt,208,29
Salt,37,291
Salt,166,106
Salt,167,140
Salt,29,0
Salt,243,166
Salt,269,59
Salt,164,156
Salt,148,179
Salt,97,196
Salt,251,176
Salt,182,9
Salt,290,103
Salt,172,268
Salt,171,188
Salt,256,91
Salt,284,189
