Type,X,Y
Salt,393,393
Salt,232,109
Salt,17,251
Salt,13,333
Salt,196,104
Salt,380,212
Salt,323,192
Salt,77,301
Salt,119,229
Salt,247,215
Salt,359,210
Salt,330,55
Salt,162,283
Salt,298,387
Salt,48,193
Salt,20,320
Salt,377,47
Salt,379,295
Salt,284,235
Salt,206,119
Salt,252,82
Salt,258,326
Salt,305,120
Salt,221,137
Salt,387,24
Salt,155,325
Salt,55,325
Salt,151,29
Salt,141,315
Salt,266,8
Salt,307,375
Salt,169,172
Salt,135,342
Salt,137,373
Salt,223,207
Salt,359,249
Salt,26,242
Salt,364,233
Salt,130,305
Salt,4,164
Salt,222,306
Salt,154,220
Salt,169,12
Salt,54,179
Salt,11,228
Salt,84,18
Salt,184,94
Salt,190,255
Salt,363,322
Salt,21,184
Salt,369,85
Salt,231,354
Salt,53,362
Salt,176,328
Salt,199,46
Salt,316,80
Salt,100,208
Salt,127,119
Salt,236,106
Salt,79,260
Salt,131,70
Salt,397,207
Salt,382,34
Salt,294,232
Salt,22,190
Salt,212,345
Salt,100,66
Salt,255,154
Salt,210,180
Salt,301,259
Salt,262,290
Salt,313,101
Salt,204,30
Salt,258,124
Salt,314,298
Salt,242,380
Salt,134,325
Salt,279,23
Salt,140,339
Salt,88,155
Salt,123,134
Salt,117,56
Salt,349,321
Salt,128,88
Salt,266,338
Salt,33,70
Salt,352,328
Salt,7,105
Salt,372,148
Salt,49,174
Salt,167,332
Salt,49,177
Salt,47,313
Salt,94,194
Salt,34,133
Salt,101,134
Salt,246,388
Salt,30,137
Salt,264,23
Salt,217,15
Salt,391,156
Salt,284,25
Salt,137,231
Salt,88,111
Salt,325,166
Salt,118,81
Salt,238,20
Salt,38,130
Salt,113,282
Salt,111,98
Salt,355,85
Salt,367,164
Salt,143,128
Salt,152,44
Salt,94,53
Salt,353,55
Salt,157,366
Salt,138,235
Salt,235,18
Salt,378,209
Salt,3,44
Salt,12,296
Salt,216,292
Salt,287,345
Salt,365,334
Salt,109,229
Salt,265,351
Salt,111,147
Salt,186,252
Salt,226,0
Salt,390,355
Salt,246,236
Salt,15,22
Salt,358,204
Salt,390,140
Salt,62,105
Salt,390,376
Salt,338,248
Salt,298,270
Salt,43,201
Salt,267,316
Salt,228,15
